 user_id | route_id | seq_no | hand |                                                           move                                                            | crux 
---------+----------+--------+------+---------------------------------------------------------------------------------------------------------------------------+------
       1 |        1 |      1 | R    | Matched on jug                                                                                                            | f
       1 |        1 |      2 | L    | reach to jug                                                                                                              | f
       1 |        1 |      3 | R    | match                                                                                                                     | f
       1 |        1 |      4 | R    | to good sidepull                                                                                                          | f
       1 |        1 |      5 | L    | to good sidepull                                                                                                          | f
       1 |        1 |      6 | R    | to finger jug                                                                                                             | f
       1 |        1 |      7 | L    | to crimp                                                                                                                  | f
       1 |        1 |      8 | R    | out right to pinch jug                                                                                                    | f
       1 |        1 |      9 | L    | to finger jug                                                                                                             | f
       1 |        1 |     10 | R    | roll into pinch jug                                                                                                       | f
       1 |        1 |     11 | L    | out to slopey jug                                                                                                         | f
       1 |        1 |     12 | R    | rt to angle jug                                                                                                           | f
       1 |        1 |     13 | L    | match                                                                                                                     | f
       1 |        1 |     14 | R    | moving right to crimp                                                                                                     | f
       1 |        1 |     15 | L    | up to angle jug                                                                                                           | f
       1 |        1 |     16 | R    | up to finger slot                                                                                                         | f
       1 |        1 |     17 | L    | unwind to jug                                                                                                             | f
       1 |        1 |     18 | R    | up right to slot jug                                                                                                      | f
       1 |        1 |     19 | L    | up to side pull jug                                                                                                       | f
       1 |        1 |     20 | R    | to rt jug                                                                                                                 | f
       1 |        1 |     21 | L    | to crimp intermediate                                                                                                     | f
       1 |        1 |     22 | L    | to finish jug                                                                                                             | f
       1 |        2 |      1 | R    | matched on jug                                                                                                            | f
       1 |        2 |      2 | L    | reach to left facing pocket                                                                                               | f
       1 |        2 |      3 | R    | cross up to right facing jug                                                                                              | f
       1 |        2 |      4 | L    | unwind to flat crimp                                                                                                      | f
       1 |        2 |      5 | R    | up to finger jug                                                                                                          | f
       1 |        2 |      6 | L    | left ward move to pinch intermediate                                                                                      | f
       1 |        2 |      7 | L    | go again to left angle jug                                                                                                | f
       1 |        2 |      8 | R    | up to right angle jug                                                                                                     | f
       1 |        2 |      9 | L    | into left facing undercling                                                                                               | f
       1 |        2 |     10 | R    | go to flat edge crimp                                                                                                     | f
       1 |        2 |     11 | R    | go again moving leftward to a jug                                                                                         | f
       1 |        2 |     12 | L    | move left to left facing side pull jug                                                                                    | f
       1 |        2 |     13 | R    | up to left angle jug                                                                                                      | f
