uid rid mid hand crux k1 k2 k3 k4 hold.goodness cross big.move match
0 1 1 right false 1 1 1 1 0 false false false
0 1 2 left false 1 1 2 2 0 false true false
0 1 3 right false 2 2 3 3 0 false false true
0 1 4 right false 3 3 4 4 1 false false false
0 1 5 left false 3 3 4 4 1 false false false
0 1 6 right false 1 4 1 5 -1 false false false
0 1 7 left false 4 5 5 6 0 false false false
0 1 8 right false 5 6 6 7 0 false false false
0 1 9 left false 1 4 1 5 -1 false false false
0 1 10 right false 5 6 6 7 0 false false false
0 1 11 left false 1 7 1 8 -1 false false false
0 1 12 right false 1 8 7 9 1 false false false
0 1 13 left false 2 2 3 3 0 false false true
0 1 14 right false 4 5 5 6 0 false false false
0 1 15 left false 1 8 7 9 1 false false false
0 1 16 right false 6 9 8 10 -1 false false false
0 1 17 left false 1 1 1 1 0 false false false
0 1 18 right false 7 10 9 11 0 false false false
0 1 19 left false 8 11 10 12 0 false false false
0 1 20 right false 1 1 1 1 0 false false false
0 1 21 left false 4 5 5 6 0 false false false
0 1 22 left false 9 12 11 13 0 false false false
0 2 1 right false 1 1 1 1 0 false false false
0 2 2 left false 10 13 12 14 0 false false false
0 2 3 right false 1 1 1 1 0 false false false
0 2 4 left false 4 14 5 15 -1 false false false
0 2 5 right false 1 4 1 5 -1 false false false
0 2 6 left false 11 15 13 16 0 false false false
0 2 7 left false 1 16 7 17 1 false false false
0 2 8 right false 1 17 7 18 1 false false false
0 2 9 left false 12 18 14 19 0 false false false
0 2 10 right false 13 19 15 20 -1 false false false
0 2 11 right false 1 1 1 1 0 false false false
0 2 12 left false 8 11 10 12 0 false false false
0 2 13 right false 1 16 7 17 1 false false false
0 2 14 left false 2 2 3 3 0 false false true
0 2 15 right false 14 20 16 21 1 false false false
0 2 16 left false 10 13 12 14 0 false false false
0 2 17 right false 2 2 3 3 0 false false true
0 2 18 right false 1 1 1 1 0 false false false
0 2 19 left false 15 21 17 22 -1 false false false
0 2 20 right false 15 21 17 22 -1 false false false
0 2 21 left false 15 21 17 22 -1 false false false
0 2 22 right false 16 22 18 23 -1 false false false
0 2 23 left false 17 23 19 24 0 false false false
0 11 0 left false 11 15 13 16 0 false false false
0 11 1 left false 18 24 20 25 -1 false false false
0 11 2 right false 1 1 1 1 0 false false false
0 11 3 right false 3 3 4 4 1 false false false
0 11 4 left false 3 3 4 4 1 false false false
0 11 5 right false 1 4 1 5 -1 false false false
0 11 6 left false 4 5 5 6 0 false false false
0 11 7 right false 5 6 6 7 0 false false false
0 11 8 left false 1 4 1 5 -1 false false false
0 11 9 left false 1 16 7 17 1 false false true
0 11 10 right false 14 20 16 21 1 false false false
0 11 11 left false 10 13 12 14 0 false false false
0 11 12 right false 10 13 12 14 0 false false true
0 11 13 left false 15 21 17 22 -1 false false false
0 11 14 right false 15 21 17 22 -1 false false false
0 11 15 left false 15 21 17 22 -1 false false false
0 11 16 right false 16 22 18 23 -1 false false false
0 11 17 left false 17 23 19 24 0 false false false
0 11 18 right false 7 10 9 11 0 false false false
0 11 19 left false 8 11 10 12 0 false false false
0 11 20 right false 1 1 1 1 0 false false false
0 11 21 left false 11 15 13 16 0 false false false
0 11 22 right false 1 1 1 1 0 false false false
0 11 23 left false 10 13 12 14 0 false false false
0 11 24 left false 1 1 21 26 0 true false true
0 11 25 left false 8 11 10 12 0 false false false
0 11 26 right false 3 25 22 27 0 false false false
0 11 27 left false 11 15 13 16 0 false false false
0 11 28 left false 11 15 13 16 0 false false false
0 11 29 left false 1 1 2 2 0 false true false
0 11 30 right false 1 1 2 2 0 false true true
0 11 31 left false 3 3 4 4 1 false false false
0 11 32 right false 1 4 1 5 -1 false false false
0 11 33 left false 8 11 10 12 0 false false false
0 11 34 right false 1 16 7 17 1 false false false
0 11 35 left false 1 16 7 17 1 false false true
0 11 36 right false 19 26 23 28 0 false false false
0 11 37 left false 12 18 14 19 0 false false false
0 11 38 right false 18 24 24 29 -1 true false false
0 11 39 left false 18 27 20 30 0 false false false
0 11 40 left false 17 23 19 24 0 false false false
0 11 41 right false 20 28 25 31 1 false false false
0 11 42 left false 20 28 25 31 1 false false true
0 4 0 left false 1 16 7 17 1 false false false
0 4 1 right false 1 17 7 18 1 false false false
0 4 2 left false 12 18 14 19 0 false false false
0 4 3 right false 13 19 15 20 -1 false false false
0 4 4 right false 1 1 1 1 0 false false false
0 4 5 left false 1 1 2 2 0 false true false
0 4 6 right false 3 3 4 4 1 false false false
0 4 7 left false 3 3 4 4 1 false false false
0 4 8 right false 1 4 1 5 -1 false false false
0 4 9 right false 14 20 16 21 1 false false false
0 4 10 left false 10 13 12 14 0 false false false
0 4 11 right false 1 1 1 1 0 false false false
0 4 12 left false 15 21 17 22 -1 false false false
0 4 13 right false 5 6 6 7 0 false false false
0 4 14 right false 1 8 7 9 1 false false false
0 4 15 left false 1 8 7 9 1 false false true
0 4 16 right false 4 5 5 6 0 false false false
0 4 17 left false 1 8 7 9 1 false false false
0 4 18 right false 6 9 8 10 -1 false false false
0 4 19 left false 1 1 1 1 0 false false false
0 4 20 right false 7 10 9 11 0 false false false
0 4 21 left false 8 11 10 12 0 false false false
0 4 22 right false 1 1 1 1 0 false false false
0 4 23 left false 4 5 5 6 0 false false false
0 4 24 left false 9 12 11 13 0 false false false
0 4 25 right false 1 1 1 1 0 false false false
0 4 26 left false 10 13 12 14 0 false false false
0 4 27 right false 1 1 1 1 0 false false false
0 4 28 left false 4 14 5 15 -1 false false false
0 4 29 right false 1 4 1 5 -1 false false false
0 4 30 left false 11 15 13 16 0 false false false
0 4 31 left false 1 16 7 17 1 false false false
0 4 32 right false 1 17 7 18 1 false false false
0 4 33 left false 12 18 14 19 0 false false false
0 4 34 right false 1 1 1 1 0 false false false
0 4 35 left false 8 11 10 12 0 false false false
0 4 36 right false 1 16 7 17 1 false false false
0 4 37 right false 14 20 16 21 1 false false false
0 4 38 left false 10 13 12 14 0 false false false
0 5 1 right false 1 1 1 1 0 false false false
0 5 2 right false 5 6 6 7 0 false false false
0 5 3 left false 8 11 10 12 0 false false false
0 5 4 right false 15 21 17 22 -1 false false false
0 5 5 left false 12 18 14 19 0 false false false
