route_id,seq_no,hand,move,nnn,delta,error,crux
1,1,R,Matched on jug,f,0,f,f
1,2,L,reach to jug,f,0,f,f
1,3,R,match,f,0,f,f
1,4,R,to good sidepull,f,0,f,f
1,5,L,to good sidepull,f,0,f,f
1,6,R,to finger jug,f,0,f,f
1,7,L,to crimp,f,0,f,f
1,8,R,out right to pinch jug,f,0,f,f
1,9,L,to finger jug,f,0,f,f
1,10,R,roll into pinch jug,f,0,f,f
1,11,L,out to slopey jug,f,0,f,f
1,12,R,rt to angle jug,f,0,f,f
1,13,L,match,f,0,f,f
1,14,R,moving right to crimp,f,0,f,f
1,15,L,up to angle jug,f,0,f,f
1,16,R,up to finger slot,f,0,f,f
1,17,L,unwind to jug,f,0,f,f
1,18,R,up right to slot jug,f,0,f,f
1,19,L,up to side pull jug,f,0,f,f
1,20,R,to rt jug,f,0,f,f
1,21,L,to crimp intermediate,f,0,f,f
1,22,L,to finish jug,f,0,f,f
2,1,R,matched on jug,f,0,f,f
2,2,L,reach to left facing pocket,f,0,f,f
2,3,R,cross up to right facing jug,f,0,f,f
2,4,L,unwind to flat crimp,f,0,f,f
2,5,R,up to finger jug,f,0,f,f
2,6,L,left ward move to pinch intermediate,f,0,f,f
2,7,L,go again to left angle jug,f,0,f,f
2,8,R,up to right angle jug,f,0,f,f
2,9,L,into left facing undercling,f,0,f,f
2,10,R,go to flat edge crimp,f,0,f,f
2,11,R,go again moving leftward to a jug,f,0,f,f
2,12,L,move left to left facing side pull jug,f,0,f,f
2,13,R,up to left angle jug,f,0,f,f
2,14,L,match,f,0,f,f
2,15,R,up right to angle gaston jug,f,0,f,f
2,16,L,up to multiple pocket hold,f,0,f,f
2,17,R,match,f,0,f,f
2,18,R,go again to jug,f,0,f,f
2,19,L,reach up and left to finger bucket,f,0,f,f
2,20,R,move right to finger bucket,f,0,f,f
2,21,L,move right to finger bucket,f,0,f,f
2,22,R,moves up right to angled gaston crimp,f,0,f,f
2,23,L,grab finishing hold,f,0,f,f
11,0,L,left ward move to pinch intermediate,f,27,f,f
11,1,L,go again to flat edge,f,54,f,f
11,2,R,moving to right facing jug,f,54,f,f
11,3,R,to good sidepull,f,0,f,f
11,4,L,to good sidepull,f,0,f,f
11,5,R,to finger jug,f,0,f,f
11,6,L,to crimp,f,0,f,f
11,7,R,out right to pinch jug,f,0,f,f
11,8,L,to finger jug,f,0,f,f
11,9,L,up to left angle jug (match),f,26,f,f
11,10,R,up right to angle gaston jug,f,26,f,f
11,11,L,up to multiple pocket hold,f,26,f,f
11,12,R,up to multiple pocket hold (match),f,26,f,f
11,13,L,reach up and left to finger bucket,f,27,f,f
11,14,R,move right to finger bucket,f,27,f,f
11,15,L,move right to finger bucket,f,27,f,f
11,16,R,moves up right to angled gaston crimp,f,27,f,f
11,17,L,grab finishing hold,f,27,f,f
11,18,R,up right to slot jug,f,1,f,f
11,19,L,up to side pull jug,f,1,f,f
11,20,R,to rt jug,f,1,f,f
11,21,L,go again to pinch,f,54,f,f
11,22,R,matched on jug,f,0,f,f
11,23,L,reach to left facing pocket,f,0,f,f
11,24,L,big cross through to jug (match),f,27,f,f
11,25,L,moving left to side pull jug,f,27,f,f
11,26,R,up to right facing side pull,f,27,f,f
11,27,L,moving up to pinch intermediate,f,27,f,f
11,28,L,left ward move to pinch intermediate,f,1,f,f
11,29,L,reach to jug,f,28,f,f
11,30,R,reach to jug (match),f,28,f,f
11,31,L,to good sidepull,f,27,f,f
11,32,R,to finger jug,f,27,f,f
11,33,L,move left to left facing side pull jug,f,0,f,f
11,34,R,up to left angle jug,f,0,f,f
11,35,L,up to left angle jug (match),f,0,f,f
11,36,R,bump out right to pinch,f,26,f,f
11,37,L,move up left to undercling,f,26,f,f
11,38,R,cross over to flat edge,f,26,f,f
11,39,L,unwind to good left edge,f,26,f,f
11,40,L,finishing hold,f,27,f,f
11,41,R,moving right to a right angle crimp rail,f,27,f,f
11,42,L,moving right to a right angle crimp rail (match),f,27,f,f
4,0,L,go again to left angle jug,f,28,f,f
4,1,R,up to right angle jug,f,28,f,f
4,2,L,into left facing undercling,f,28,f,f
4,3,R,go to flat edge crimp,f,28,f,f
4,4,R,Matched on jug,f,4,f,f
4,5,L,reach to jug,f,4,f,f
4,6,R,to good sidepull,f,3,f,f
4,7,L,to good sidepull,t,3,f,f
4,8,R,to finger jug,f,3,f,f
4,9,R,up right to angle gaston jug,f,27,f,f
4,10,L,up to multiple pocket hold,f,27,f,f
4,11,R,go again to jug,f,28,f,f
4,12,L,reach up and left to finger bucket,f,28,f,f
4,13,R,roll into pinch jug,f,4,f,f
4,14,R,rt to angle jug,f,3,f,f
4,15,L,rt to angle jug (match),f,3,f,f
4,16,R,moving right to crimp,f,3,f,f
4,17,L,up to angle jug,f,3,f,f
4,18,R,up to finger slot,f,3,f,f
4,19,L,unwind to jug,f,3,f,f
4,20,R,up right to slot jug,f,3,f,f
4,21,L,up to side pull jug,f,3,f,f
4,22,R,to rt jug,f,3,f,f
4,23,L,to crimp intermediate,f,3,f,f
4,24,L,to finish jug,f,3,f,f
4,25,R,matched on jug,f,3,f,f
4,26,L,reach to left facing pocket,f,3,f,f
4,27,R,cross up to right facing jug,f,3,f,f
4,28,L,unwind to flat crimp,f,3,f,f
4,29,L,unwind to flat crimp,t,4,f,f
4,30,R,up to finger jug,f,4,f,f
4,31,R,up to finger jug,t,5,f,f
4,32,R,up to finger jug,t,6,f,f
4,33,R,up to finger jug,t,7,f,f
4,34,L,left ward move to pinch intermediate,f,7,f,f
4,35,L,left ward move to pinch intermediate,t,8,f,f
4,36,L,left ward move to pinch intermediate,t,9,f,f
4,37,L,go again to left angle jug,f,9,f,f
4,38,R,up to right angle jug,f,9,f,f
4,39,L,into left facing undercling,f,9,f,f
4,40,R,go again moving leftward to a jug,f,8,f,f
4,41,L,move left to left facing side pull jug,f,8,f,f
4,42,R,up to left angle jug,f,8,f,f
4,43,R,up right to angle gaston jug,f,7,f,f
4,44,L,up to multiple pocket hold,f,7,f,f
5,1,R,Matched on jug,f,0,f,f
5,2,R,move right to pinch jug,f,0,f,f
5,3,L,move left to left facing side pull jug,f,0,f,f
5,4,R,moves right to finger bucket,f,0,f,f
5,5,L,moving nine-o-clock to undercling,f,0,f,f
5,6,R,big cross through to jug,f,0,f,f
5,7,L,match,f,0,f,f
5,8,L,moving left to side pull jug,f,0,f,f
5,9,R,up to right facing side pull,f,0,f,f
5,10,L,moving up to pinch intermediate,f,0,f,f
5,11,L,go again to flat edge,f,0,f,f
5,12,R,moving to right facing jug,f,0,f,f
