route_id,user_id,name,description,created_at,grade,type,is_variation,nna,dim_mask,max_repeat,prec_trunc,transient,rx,ry,rz,vx,vy,vz,is_public
73,27,El Chupacabra 2,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-01-20 13:11:57.606068,5.8,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
74,27,"Variation on 72,73",,2010-01-20 13:12:03.593585,,,t,B,101,1,0,0,-13.0,-12.0,52.0,-16.0,-12.0,52.0,t
149,39,El Chupacabra,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-01-22 10:51:59.472685,V6,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
332,106,El crimpy,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-02-03 15:22:25.839702,5.10,Sport,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
79,28,n23,"jug to roof with cross off the second move.
",2010-01-20 14:32:12.768641,V2,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
80,28,Variation on 79,,2010-01-20 14:32:34.964797,,,t,B,101,1,0,0,-13.0,-12.0,52.0,-16.0,-12.0,52.0,t
81,29,The Boobies,"

",2010-01-20 14:57:44.241231,V2,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
156,39,5.12b,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-01-22 11:33:11.815905,5.12b,Sport,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
157,39,Variation on 156,,2010-01-22 11:33:31.955344,,,t,B,101,1,0,0,-13.0,-12.0,52.0,-16.0,-12.0,52.0,t
158,39,Variation on 156,,2010-01-22 11:34:59.475981,,,t,B,101,1,0,0,-19.0,-12.0,56.0,-16.0,-12.0,52.0,t
163,45,Variation on 160,,2010-01-22 18:52:57.443684,,,t,B,101,1,0,0,-13.0,-12.0,52.0,-16.0,-12.0,52.0,t
90,30,El Chupacabra,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-01-20 17:06:07.499196,5.10,Sport,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
160,45,freaker,ps set and is hard,2010-01-22 18:47:30.49721,5.11,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
161,45,homespank,"Like, who set it, and where, and what for and how hard it is and what''s the general style, etc.
",2010-01-22 18:49:39.14332,V6,Bouldering,f,B,011,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,t
